"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Image.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 0, 0, 55, 30, 214
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Inline.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 46, 29, 189
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\ListBullet.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 52
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\NullFrameReflower.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 38
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Page.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 0, 55, 35, 200
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Table.php", "PHP", 326, 0, 0, 0, 0, 0, 0, 0, 0, 103, 95, 524
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\TableCell.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 31, 35, 162
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\TableRow.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 83
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\TableRowGroup.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 72
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Text.php", "PHP", 370, 0, 0, 0, 0, 0, 0, 0, 0, 154, 88, 612
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\Factory.php", "PHP", 172, 0, 0, 0, 0, 0, 0, 0, 0, 51, 40, 263
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\FrameListIterator.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 39, 13, 101
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\FrameTree.php", "PHP", 173, 0, 0, 0, 0, 0, 0, 0, 0, 118, 34, 325
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\FrameTreeIterator.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 34, 12, 89
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Helpers.php", "PHP", 711, 0, 0, 0, 0, 0, 0, 0, 0, 258, 125, 1094
